FacultyName,Discipline,CourseLevel,TechSkillLevel,PreviousTools,RecommendedTool
Neeraj Chauhan,Computer Science,Graduate,Intermediate,"Slack, Canvas",Loom
Isha Mehra,Psychology,Graduate,Beginner,"MS Teams, Moodle",Loom
Shreya Patel,Computer Science,Graduate,Beginner,"MS Teams, Canvas",Canva
Tanisha Reddy,History,Undergraduate,Advanced,"Canvas, Moodle",Miro
Suresh Babu,Management,Undergraduate,Intermediate,"Zoom, Canvas",Miro
Vanya Kapoor,Economics,Undergraduate,Beginner,"Zoom, Canvas",Figma
Karthik Iyer,Economics,Graduate,Beginner,"Moodle, Zoom",ChatGPT
Rudra Iyer,Chemistry,Graduate,Advanced,Canvas,Canva
Sneha Reddy,Biology,Undergraduate,Advanced,Zoom,Miro
Deepika Reddy,Management,Graduate,Intermediate,"MS Teams, Slack",Figma
Deepika Reddy,Biology,Graduate,Beginner,"Zoom, Canvas",ChatGPT
Tanvi Shukla,Physics,Undergraduate,Advanced,"MS Teams, Canvas",Loom
Rohan Gupta,Physics,Undergraduate,Intermediate,"Slack, Zoom",Figma
Ananya Das,Computer Science,Graduate,Intermediate,"Slack, Moodle",Canva
Yuvraj Choudhary,History,Graduate,Beginner,"MS Teams, Canvas",Canva
Rajat Agarwal,Engineering,Undergraduate,Intermediate,"Slack, MS Teams",Miro
Anjali Sharma,English,Graduate,Intermediate,Moodle,Figma
Varsha Rao,Engineering,Graduate,Advanced,"MS Teams, Zoom",Miro
Trisha Kapoor,Management,Undergraduate,Intermediate,MS Teams,Loom
Chetan Deshmukh,Psychology,Graduate,Advanced,Moodle,Figma
Aditi Sharma,Engineering,Undergraduate,Beginner,"Slack, MS Teams",ChatGPT
Bhavya Singh,English,Undergraduate,Beginner,"Slack, Moodle",Loom
Rajat Agarwal,Computer Science,Graduate,Advanced,Zoom,Figma
Sara Malhotra,Psychology,Graduate,Intermediate,Zoom,Canva
Nikhil Chandra,Physics,Undergraduate,Intermediate,Slack,Miro
Vidya Rao,Economics,Graduate,Intermediate,"Slack, MS Teams",ChatGPT
Shalini Sinha,History,Graduate,Beginner,MS Teams,Miro
Abhinav Tripathi,History,Graduate,Advanced,MS Teams,Figma
Shaurya Verma,Physics,Undergraduate,Intermediate,"Slack, Zoom",Canva
Shaurya Verma,History,Undergraduate,Intermediate,Slack,Canva
Darshan Patel,Engineering,Undergraduate,Beginner,"Zoom, Slack",ChatGPT
Aman Saxena,Psychology,Graduate,Advanced,Canvas,Figma
Naina Jaiswal,English,Graduate,Advanced,"Moodle, MS Teams",Loom
Sameer Reddy,Psychology,Graduate,Intermediate,Canvas,Loom
Sanya Kapoor,Economics,Undergraduate,Advanced,"MS Teams, Canvas",Miro
Rhea Nambiar,Physics,Graduate,Beginner,"Canvas, MS Teams",Miro
Anjali Sharma,History,Undergraduate,Beginner,Slack,Canva
Naina Jaiswal,Management,Graduate,Beginner,MS Teams,Miro
Rishabh Garg,Management,Undergraduate,Beginner,Slack,Canva
Pallavi Sinha,Computer Science,Undergraduate,Advanced,MS Teams,Miro
Bhavana Pillai,Engineering,Graduate,Intermediate,Zoom,Loom
Vedant Iyer,Engineering,Graduate,Beginner,Zoom,Loom
Sanya Kapoor,English,Graduate,Advanced,Slack,Figma
Vanya Kapoor,Psychology,Undergraduate,Advanced,Canvas,Miro
Aakash Sharma,Computer Science,Undergraduate,Beginner,"Zoom, Slack",Miro
Nikhil Chandra,Engineering,Undergraduate,Advanced,"MS Teams, Slack",Loom
Meera Menon,Psychology,Undergraduate,Beginner,Canvas,Miro
Varsha Rao,Management,Undergraduate,Beginner,"Zoom, Canvas",Canva
Aditya Rao,Economics,Graduate,Advanced,"Zoom, Slack",ChatGPT
Aman Saxena,Computer Science,Undergraduate,Advanced,"Moodle, Canvas",Figma
Shruti Agarwal,Management,Undergraduate,Beginner,Zoom,Canva
Mohit Verma,History,Undergraduate,Intermediate,"Zoom, Moodle",Figma
Manish Malhotra,Economics,Undergraduate,Beginner,Zoom,Miro
Aman Saxena,Biology,Undergraduate,Advanced,MS Teams,ChatGPT
Kiara Patel,Chemistry,Graduate,Intermediate,Canvas,Figma
Swati Kulkarni,History,Undergraduate,Intermediate,Slack,ChatGPT
Nitin Deshmukh,Chemistry,Graduate,Advanced,Zoom,Miro
